label	marketDate	prePhaseTrialNum	postPhaseTrialNum	preDatedTrialNum	postDatedTrialNum	preMeanEnroll	postMeanEnroll	ECdiseaseFocusDivergenceLevel	ECdiseaseFocusShiftLevel	ECdrugFocusDivergenceLevel	ECdrugFocusShiftLevel
0	13063	40	0.00835253456221198	9	0.00288018433179724	169.444444444444	194	-0.10904041890478	0.603117406165794	-0.073380646581974	0.518414005519626
1	12187	253	0.0137994480220791	31	0.00551977920883165	216	78.5833333333333	-0.0716931100901001	0.509070298288098	-0.0294266793528861	0.768028809998439
1	12474	1454	0.0162521546417139	70	0.00418616104407781	151.742857142857	257.705882352941	0.143509378973688	0.407773912355106	-0.0648643696353581	0.496947345457702
0	12901	138	0.0148596587782058	31	0.00385250412768299	278.032258064516	51.2857142857143	0.0600367183287698	0.523836634060999	-0.0461924742828358	0.780781396700963
0	12282	226	0.0206912767458265	25	0.00587820362097343	2739.12	1166.2	0.106721234420026	0.756432893024546	0.0457454780946079	0.879140205061962
1	12654	122	0.0195825818088122	26	0.00772996650347849	412.615384615385	181.133333333333	-0.0182907283451887	0.60816039786582	0.0532838735187746	0.849594812108787
1	12054	164	0.0207542959160902	33	0.00781075652756081	117.363636363636	231.314285714286	-0.0740917998093031	0.786637581205757	-0.0618099860637796	0.849009395990362
1	13416	183	0.0554664956716896	61	0.00288554023725553	152.540983606557	98.2222222222222	-0.0772896246955915	0.755421788231838	-0.0559243139284376	0.507368042867071
0	12977	290	0.0441259134345138	54	0.0185497470489039	632.777777777778	225.515151515152	0.0458823027099447	0.850421568681368	0.041073733232748	0.731744745012078
0	11457	460	0.00551398188263096	17	0.00196927924379677	365.235294117647	92.2	0.0281754578189492	0.630385295605023	-0.048680193317136	0.447239564583976
1	12051	181	0.0167261373773417	10	0.00312221231043711	1359.4	300.857142857143	0.0160144986187175	0.82900770844322	0.04225605387996	0.812402716031549
0	13249	172	0.027084601339014	100	0.00608642726719416	338.82	82.2	-0.167972263959502	0.654180911859385	-0.0614523079728179	0.578122652079828
0	11842	224	0.0377157468570211	14	0.0193905817174515	1923.35714285714	316.714285714286	0.118432712235974	0.850920875775334	0.0746045683371735	0.786958330185475
1	9850	100	0.00643231114435303	11	0.00344053851907255	507.545454545455	591.04347826087	0.111872832506824	0.412568498503517	0.078348582677857	0.60710211032255
0	13234	67	0.0163586791881248	32	0.0042411390487731	952.78125	149.071428571429	0.0848295578431733	0.876267006209297	0.0545206022812738	0.872830921222206
0	13329	274	0.0212102308172177	26	0.00280723643169058	336.653846153846	96.6666666666667	-0.0216786226934251	0.809537727176758	-0.00913497053693479	0.793531799824779
0	12782	182	0.0223820943245404	15	0.00746069810818012	333.133333333333	139	0.0313139172624346	0.721955686054388	0.316985863351454	0.81525537689952
0	12299	73	0.00684608120868744	9	0.00354107648725212	174.333333333333	220.666666666667	0.0577832176660041	0.748140649485473	0.0429130036725809	0.684392533972027
0	12341	84	0.011444921316166	9	0.00834525512637101	347.777777777778	71.7142857142857	0.00440426162278007	0.482289428438469	0.0618155816949567	0.674185675396701
0	11561	195	0.0221149979895456	21	0.0126658624849216	1254.90476190476	259.269841269841	-0.05970488390102	0.888186406742092	0.0579640281074264	0.826466486203361
0	12143	563	0.0334699453551913	195	0.0252732240437158	111.851282051282	145.477477477477	-0.0135482124940532	0.734121814392155	-0.0555911395801952	0.65395512395369
0	12227	109	0.0123026926648097	11	0.00951717734447539	257.454545454545	212.975609756098	0.129792858205217	0.702100366683843	0.177433061176811	0.742241849089556
1	10191	1261	0.00788146279949559	11	0.00315258511979823	121.545454545455	127.65	0.0892103347936031	0.566416952814028	0.0501099950138446	0.684632701181524
0	12613	183	0.0160632330443651	45	0.00560938296787353	397.533333333333	266.454545454545	0.189115776384018	0.86571771039599	0.0787094761120468	0.725847264260873
1	11991	253	0.0132042253521127	25	0.00616197183098592	241	96.9285714285714	-0.0705298592894576	0.403152952003836	-0.00697126152804028	0.74793129755428
0	9862	146	0.00704330885658624	12	0.00449572905739547	115.916666666667	117.033333333333	0.347139319376296	0.437152868341211	0.281531425156118	0.705365268414312
0	13034	80	0.0174235932590688	25	0.00571265352756355	355.76	448.25	0.00311528116021392	0.654090374766886	0.0144511532226903	0.602217473437773
0	13648	290	0.0543817111188084	99	0.00865950813993765	487.383838383838	184.16	-0.00854689266047864	0.787236453688614	-0.0241354684181269	0.703882088414489
1	11535	120	0.009	9	0.008	594.444444444444	213.225	0.153962495005923	0.338925522212996	0.0983787406235788	0.613829681350344
1	12333	150	0.0176106615897192	31	0.00618752974773917	250.774193548387	225.153846153846	-0.0633895109899357	0.870442222516106	-0.03661897040784	0.732046446498739
0	13118	223	0.0248756218905473	47	0.00848697688030436	304	185.965517241379	0.0742646553715351	0.777200971597284	0.0348848627759736	0.55269001080854
0	12584	190	0.0118957226018729	13	0.00253100480890914	474.230769230769	989.9	-0.00992114427970131	0.406921728742174	-0.0192684032021829	0.731371429165326
0	11985	132	0.0149450549450549	11	0.00879120879120879	775.363636363636	375.025	0.0312977620954897	0.768871364669824	0.0602859462864691	0.696894399733089
0	11554	185	0.00983738205179683	9	0.00602288697048785	453.333333333333	169.633333333333	0.10983265370908	0.501058027757457	-0.032183659702735	0.492353083713399
